timestamp,platform,address_id,address,zone,lat,lng,product,price,available,delivery_fee,service_fee,eta_min,promotions,total_cost
2026-04-05T01:48:20.159470,rappi,polanco_masaryk,"Av. Presidente Masaryk 111, Polanco, CDMX",premium,19.4326,-99.1999,Big Mac,120.16,True,21.11,4.95,25.0,,146.21999999999997
2026-04-05T01:48:31.048075,rappi,polanco_masaryk,"Av. Presidente Masaryk 111, Polanco, CDMX",premium,19.4326,-99.1999,Coca-Cola 500ml,40.68,True,21.11,4.95,25.0,,66.74
2026-04-05T01:48:41.917409,rappi,polanco_masaryk,"Av. Presidente Masaryk 111, Polanco, CDMX",premium,19.4326,-99.1999,Combo Mediano,165.29,True,21.11,4.95,25.0,,191.34999999999997
2026-04-05T01:48:41.918420,rappi,polanco_ejercito,"Ejercito Nacional 843, Polanco, CDMX",premium,19.436,-99.204,Big Mac,113.84,True,22.24,4.95,27.0,,141.03
2026-04-05T01:48:41.919420,rappi,polanco_ejercito,"Ejercito Nacional 843, Polanco, CDMX",premium,19.436,-99.204,Coca-Cola 500ml,43.32,True,22.24,4.95,27.0,,70.51
2026-04-05T01:48:41.919420,rappi,polanco_ejercito,"Ejercito Nacional 843, Polanco, CDMX",premium,19.436,-99.204,Combo Mediano,156.71,True,22.24,4.95,27.0,,183.9
2026-04-05T01:48:41.920420,rappi,lomas_reforma,"Paseo de la Reforma 2608, Lomas Chapultepec, CDMX",premium,19.4334,-99.2239,Big Mac,114.48,True,17.89,4.95,26.0,20% off con RappiPay,137.32
2026-04-05T01:48:41.921408,rappi,lomas_reforma,"Paseo de la Reforma 2608, Lomas Chapultepec, CDMX",premium,19.4334,-99.2239,Coca-Cola 500ml,43.14,True,17.89,4.95,26.0,20% off con RappiPay,65.98
2026-04-05T01:48:41.922423,rappi,lomas_reforma,"Paseo de la Reforma 2608, Lomas Chapultepec, CDMX",premium,19.4334,-99.2239,Combo Mediano,159.82,True,17.89,4.95,26.0,20% off con RappiPay,182.65999999999997
2026-04-05T01:48:41.923410,rappi,santa_fe_perisur,"Av. Vasco de Quiroga 3800, Santa Fe, CDMX",premium,19.3588,-99.2595,Big Mac,117.76,True,21.95,4.95,27.0,Envío gratis en tu primer pedido,144.66
2026-04-05T01:48:41.924410,rappi,santa_fe_perisur,"Av. Vasco de Quiroga 3800, Santa Fe, CDMX",premium,19.3588,-99.2595,Coca-Cola 500ml,41.37,True,21.95,4.95,27.0,Envío gratis en tu primer pedido,68.27
2026-04-05T01:48:41.924410,rappi,santa_fe_perisur,"Av. Vasco de Quiroga 3800, Santa Fe, CDMX",premium,19.3588,-99.2595,Combo Mediano,160.3,True,21.95,4.95,27.0,Envío gratis en tu primer pedido,187.2
